name,author,link,rating,rating_count,review_count,pages_count,price,text_reviews,age,year
Python. Чистый код для продолжающих,Эл Свейгарт,https://www.litres.ru/book/el-sveygart/python-chistyy-kod-dlya-prodolzhauschih-67781789/,"4,5",8,5,384,699,"После прочтения учебника для начинающих по какому-либо языку программирования вы пытаетесь найти более обстоятельные учебные пособия. Беда в том, что вы повсюду натыкаетесь на все те же руководства по написанию «Hello, world!».,Программисты называют этот период «пустыней отчаяния». Из учебников для начинающих вы уже выросли, а до действительно сложных тем еще не доросли. Именно для вас Эл Свейгарт написал эту книгу.,Эл Свейгарт — автор нескольких замечательных книг по Python. Например, он написал «Automate the Boring Stuff with Python» (2020) и «Cracking Codes with Python» (2018).,«Python. Чистый код для продолжающих» — прекрасный учебник для тех, кто уже ознакомился с основами Python и хотел бы углубить знания.,Ничего по теме чистого кода в этой книге нет и в помине. Материал совсем базовый.,Хороший материал с хорошей подачей. Это не первая моя книга этого автора, и как всегда легко и с интересом читается. Советую к прочтению,Хороший материал с хорошей подачей. Это не первая моя книга этого автора, и как всегда легко и с интересом читается. Советую к прочтению,Отличная книга. Легко читается. Материал подается именно на столько подробно, на сколько это было нужно.,Книга действительно для продолжающих, т.к. совсем без знаний будет трудно понять автора. Особенно тема про ООП.",16+,2021
C++ для профи,Джош Лоспинозо,https://www.litres.ru/book/dzhosh-lospinozo/c-dlya-profi-64821742/,"4,0",4,1,816,879,"Ужасная книга. Жаль потраченных денег.,Пишу на C++ более 10 лет. Решил изучить саму свежую литературу, чтобы обновить знания по последним нововведениям. Остановился на этой книге с кричащим названием. ,95% текста – вода, к тому же с весьма кривым техническим переводом. Полезной конкретики почти нет. Автор постоянно говорит «Не беспокойтесь об этом и о том» и «Для уточнения деталей ознакомьтесь со Стандартом». Это просто издевательство над читателем, который платит за то, чтобы найти в книге ответы на свои вопросы.,Категорически не рекомендую ни экспертам, ни новичкам. Зря потратите время и деньги. ,Максим Глухманюк , может у вас есть альтернатива для прочтения? посоветуйте, пожалуйста.",16+,2019
Unity и С#. Геймдев от идеи до реализации (pdf+epub),Джереми Гибсон Бонд,https://www.litres.ru/book/dzheremi-gibson-bond/unity-i-s-geymdev-ot-idei-do-realizacii-pdf-epub-64085991/,"4,3",23,4,1002,699,"Довольно интересная литература, если только начинаете в геймдеве, но как и всё печатное довольно быстро устаревает. До сих пор лежит на полке с кучей закладок, к которым периодически обращаюсь,PuFets, Здравствуйте а версия за 700 рублей реальноя или это копия и такой же вопрос касательно 4 сотен зеранее спасибо за внимание,Помимо стандартного введения в C# (довольно толкового) и примеров игр (аж 7 штук) книга содержит уникальный раздел, посвященный именно проектированию игр (то, что по-английски называется game design) - других русскоязычных книг на эту тему я не знаю. Раздел для геймдизайнеров занимает честную треть книги и отражает подходы к преподаванию этой дисциплины автором в ВУЗах США.,Дает хорошее представление для начинающих разработчиков игр .Книга написана очень хорошо тескты несложный практикутесь больше,Хороший книги. Для начала очень полезно. Теоретически часть тоже не скучно, и даже не хочется пропустить страницы( и посмотреть рисунки и примеры кода, как часто бывает:)",16+,2018
Информатика. Практические работы. Учебное пособие для СПО,В. А. Алексеев,https://www.litres.ru/book/v-a-alekseev/informatika-prakticheskie-raboty-67485165/,"5,0",1,0,254,1014,,0+,2024
"Путь 1С-разработки. Не спеша, эффективно и правильно",Никита Зайцев aka WildHare,https://www.litres.ru/audiobook/nikita-zaycev-aka-wildha/put-1s-razrabotki-ne-spesha-effektivno-i-pravilno-70789105/,"5,0",3,0,,449,,16+,2024
"Тестирование видеоигр, или Легкий способ попасть в геймдев",Александр Торговкин,https://www.litres.ru/audiobook/aleksandr-torgovkin/testirovanie-videoigr-ili-legkiy-sposob-popast-v-geymd-70918156/,"5,0",4,0,,719,,12+,2024
Тестирование программного обеспечения. Основы,Виктор Владимирович Захаров,https://www.litres.ru/book/viktor-vladimirovich-zaharo/testirovanie-programmnogo-obespecheniya-osnovy-70315903/,"4,6",11,3,237,399,"Прочитав книгу, я хочу поделиться своим мнением. Сначала о самой книге. Она написана простым языком, понятным для любого человека, независимо от его профессии. Это действительно редкость в технической литературе. Я рекомендую начинающим тестировщикам начать свой путь с этой книги. Читая другие книги вы или мозг сломаете или там будет очень много ""воды"".,Читая книгу, сразу чувствуется, что автор обладает глубоким знанием в области, о которой пишет. Он подробно разбирает каждую тему, предлагая примеры, которые, по всей видимости, он сам разработал, а не просто взял из интернета (программу, описываемую в примерах, он точно сам создал). Такого преподавателя стоит пригласить на курсы. После его обучения вы уйдёте с курсов с полным пониманием того, как применить полученные знания на практике.,Многие методы тест-дизайна, описанные автором, не встречаются в русскоязычном сегменте интернета. Что касается зарубежных ресурсов, я не могу сказать ничего определенного. Возможно, какие-то описания можно найти в интернете, но часто они являются неполными. В данной книге все методы описаны подробно и понятно. Методы ""белого ящика"" - настоящее открытие. Я не встречал их описания нигде раньше. Лично я не смог понять их из-за незнания программирования, но мой брат, который знает программирование, сказал, что у автора все в порядке с логикой и кодом. Он объяснил мне их, читая книгу. Отдельное спасибо автору за методы тест-дизайна. Я предполагаю, что другие авторы начнут заимствовать материалы у данного автора для своих книг и статей, так как такого точно у них нет.,Я рекомендую всем начинать читать книгу, не только новичкам. Я уверен, что там есть чему всем поучиться. Жду следующей книги от автора. От меня подписка.,Александр, спасибо за комментарий и оценку. Следующая книга в работе.,Начал читать книгу. Понравилось, что автор очень подробно описывает все процессы. Думаю, что по этой книге можно смело начинать обучение тестированию,Твой Климат, спасибо.,Автор красавчик. Отличная книга. По книге регулярно буду повторять суть. Прочитал и без опаски хожу на собеседования и красуюсь там знаниями. Самое интересное, что 80% руководителей тестеров некомпетентны. Они задают вопросы, на которые сами не знают правильных ответов. У них глаза на лоб лезут, когда я рассказываю про техники тест-дизайна, о которых они даже не догадывались, а я уже о них знаю :) ,Вот с практикой у меня слабенько. Автор напиши книгу по практике.",12+,2023
Информатика. 8 класс,"Е. А. Еремин, К. Ю. Поляков",https://www.litres.ru/book/e-eremin/informatika-8-klass-68294042/,"3,5",2,0,259,500,,0+,2022
Искусственный интеллект и Машинное обучение. Основы программирования на Python,Тимур Казанцев,https://www.litres.ru/book/timur-kazancev/iskusstvennyy-intellekt-i-mashinnoe-obuchenie-osnovy-progra-59162107/,"4,5",60,17,163,379,"Отличный вариант для тех, кто начинает разбираться в Искусственном интеллекте и машинном обучении. Все объясняется достаточно понятным языком и приводятся конкретные примеры. Приятным бонусом в книгу включены базовый курс по Питону и несколько вариантов как решать задачи по машинному обучению и нейронным сетям в Питоне.,Отличная книга! Так много вокруг барахла или из сухой теории с глубокой математикой или практикой с кодом, который вырван из контекста и совершенно непонятно, как его запускать. Здесь прямо оптимум: необходимое и достаточное количество информации и инструкций. Именно с этой книги я начал свой путь в части ИИ. Если бы не она – забросил бы наверное.,Учитывая нынешние тенденции в развитии ИИ и технологий в целом, думаю, наше будущее будет примерно следующим.,	Условная Алиса станет нашей неотъемлемой частью жизни. Такие вещи, как умный дом, будут обязательны у человека, как телефон сейчас. Алиса научится менять температуру помещения до оптимальной для вас, даже умея учитывать ваше состояние, включая болезнь. Она научится регулировать освещение, обращая внимание на время суток. Алиса обучится очень важной задаче — мотивации. Она будет вам звонить на телефон и спрашивать, как у нас дела, и не нужна ли вам психологическая помощь [Отсылка: фильм “Она” 2013г]. ,	Биоинженерия будет развиваться стремительными темпами: появятся чипы, которые можно будет внедрять прямо в шею или в мозг. С помощью чипа вы сможете заходить в интернет, то бишь киберпространство, с элементами дополненной реальности, а то и вовсе с полным погружением. Появятся такие специальности, как киберинженерия, которая будет заниматься интернет-реальностью и архитектурой кибермира. Смартфон будет отходить на второй план, а затем и вовсе исчезнет за ненадобностью. Умное протезирование конечностей, киборгизация и прочее — это всё будет само собой разумеющимся.,	А теперь давайте представим, что человеку заменили 99% тела на искусственные части, а условная Алиса в реальном мире стала на 99% человеком. И тут будет открыт главный философский вопрос: что есть машина, а что есть человек? Где будет та самая тонкая грань, и будет ли она вообще, что можно будет сказать, что человека делает человеком именно это, а машину делает машиной именно то?,	Думаю, слияние человеческого разума и машинного и дальнейшее размытие разницы между ними — это такое же неизбежное событие, какое и уже появившееся ранее машинное обучение.,Отличная иллюстрированная книга. Самым что ни наесть хорошим образом отличается от пособий содержащие в себе текст и какие-нибудь серые схемки. Книга цветная, иллюстрации дополняя текст способствуют пониманию, и что очень важно, воспроизведению материала по делу из памяти. Рекомендую, как дополнение к базовому учебнику и как начальный целостный курс.,Рекомендую книгу всем, кто интересуется темой искусственного интеллекта и машинного обучения. Теория хорошо сочетается с практическими примерами, и базовыми уроками на Питоне для построения настоящих моделей для предсказания,Хорошо структурированная книга про Искусственный интеллект для тех, кто только погружается в эту сферу. Кроме теории, внутри книги есть даже мини-курс по Питону, машинному обучению, созданию простых нейросетей. Книга однозначно заслуживает прочтения и использования в работе,Отрасль искусственного интеллекта развивается сегодня бешеными темпами, давно хотела понять что это вообще такое и наткнулась на эту книгу. Книга легко читается, не ожидала, что о таких серьёзных вещах можно написать таким понятным языком.  Больше всего понравилась глава про нейронные сети и конкретные примеры из реальной жизни. Во второй части есть уроки по программированию и созданию моделей машинного обучения, можно практиковать пока читаешь книгу.,Полезная книга для общего понимания ИИ, машинного обучения, нейронных сетей. Теория плавно перетекает в практику, для тех, кто не очень в теме, будет отличным введением в индустрию,Очень полезная книга! Примеры програмирования на Python подробные описание для новичков очень ценние знания. Большое спосибо автора!,очень интересная книга, основные понятия ИИ изложены доступно и легко, даются основы языка Python. Есть примеры и задания.",12+,2020
Python. Разработка на основе тестирования,Гарри Персиваль,https://www.litres.ru/book/garri-persival-21051344/python-razrabotka-na-osnove-testirovaniya-48411143/,"4,0",4,2,624,1049,"Ждал от книги большего. Ждал про то, как тестить бизнес-логику, про слои приложения, границы, про правильное написание быстрых изолированных тестов бизнес-логики, интеграционных тестов инфраструктуры, про команды и запросы и тд. Книга не доросла до таких тем, несмотря на свой 600-страничный размер.,Виды тестов и их разница даны только в последней главе. Это как? Про стабы — нет. Про запросы-команды, про зависимости и их тестирование тоже толком нет.,При этом зачем-то в книгу вошла белиберда про Django — про её модельки, вьюшки, урлы, миграции. Это всё в документации по фреймворку есть и очень слабо относится к теме книги — к тестированию.,Книга небесполезна. Но, повторюсь, ожидания мои были другими. В чём-то вероятно следующая книга Персиваля по паттернам отвечает на мои вопросы — а, может, и тоже нет.,Хочется прочесть дальше по теме вторую книгу Персиваля по паттернам, а также Хорикова, а также возможно Роя Ошероува.,По работе нужно было изучить как делается тестирование в разработке. Выбрала данную книгу. Selenium, тесты баз данных, Fabric - в ней все это есть. Имеются примеры испытания автоматизации, что нужно вводить в командную строку, небольшие кусочки кода не только на языке Python, но и на Javascript. Даже описание декоратора @property вкратце. Приведены типы тестов, чем они отличаются. Правда, данная литература для тех, кто использует фреймворк Django, про Flask там нет ничего.,Чиатала не целиком, а выборочно, по нужной мне теме в данный момент.,Объемная, добротная, информативная книга от зарубежного автора, но больше для тех, у кого уже есть опыт в программировании. Людям, кто чистый ноль, будет сложно понять о чем речь.",0+,2017
Разработка веб-приложений на PHP 8,Дмитрий Колесниченко,https://www.litres.ru/book/dmitriy-kolesnichenko/razrabotka-veb-prilozheniy-na-php-8-70980292/,0,,0,481,349,,0+,2024
PHP глазами хакера,Михаил Фленов,https://www.litres.ru/book/mihail-flenov/php-glazami-hakera-4986825/,"4,1",15,7,273,349,"Не ждал многого от книги с таким многообещающим названием, но все равно остался разочарован. Хотелось получить глубокие знания в области уязвимости php скриптов. Вместо этого получил hello world пособие о том как установить apache и создать переменную в php. Использование в примерах функций mysql в книге 2015 года, даже с оговорками – моветон. Автор решил в одной книге написать обо всем – в результате ни одна из тем полностью не раскрыта. Название книги абсолютно не соответствует содержанию. Поставил 3 звезды, а не две, т.к. решил, что все-таки некоторые вещи могут быть полезны начинающему разработчику: есть описание грубых ошибок и примеры полезных скриптов. Тем кто вырос из junior не советую тратить время на эту книгу,Структурированный беглый обзор веб-разработки на PHP, затрагивающий базовые аспекты безопасности, довольно всё поверхностно, пробежаться по этой книге безусловно стоит, но ожидать от неё чего-то невероятного всё же не стоит.,p.s. в 4-ом издании довольно много deprecated функций, которые уже не актуальны и вовсе удалены из PHP,Структурированный беглый обзор веб-разработки на PHP, затрагивающий базовые аспекты безопасности, довольно всё поверхностно, пробежаться по этой книге безусловно стоит, но ожидать от неё чего-то невероятного всё же не стоит.,p.s. в 4-ом издании довольно много deprecated функций, которые уже не актуальны и вовсе удалены из PHP,Издание уже устарело, в 2020 году вышла пятая версия. Для основ php не рекомендую, в новых версиях очень много изменилось. На блоге автора есть много актуальных статей по php.,Хорошая книга для программистов на PHP! Со стороны безопасности и хакеров. Будет интересна и полезна тем, кто хочет узнать как писать безопасные веб-приложения на PHP. Но будет интересна и пентестерам и хакерам, как примеры нахождения уязвимых скриптов… Советую!,Книга и в правду хорошо написана, всё подробно объясняется. Книга подойдёт как и начинающим программистам PHP, так и опытным. В книге можно найти полезные советы по безопасности и правильности написания кода,Nice. Купил потому что понравилось слово «хакер/хэкер».,What happenes. Куплю может быть позже ноутбук и буду также для себя заниматься ассемблером.",12+,2023
Программирование на языке Rust,"Джим Блэнди, Джейсон Орендорф",https://www.litres.ru/book/dzheyson-orendorf-19727107/programmirovanie-na-yazyke-rust-45670192/,"4,1",10,3,552,1049,"Книгу только начал читать, интересная. Но издание ОЧЕНЬ неудобное: это не PDF, из которого можно было бы скопировать куски кода, и в котором работало бы оглавление, – это тупо 552 картинки. Подумайте, насколько вам будет удобно пользоваться, прежде чем покупать.,Обновляю отзыв: оглавление работает на iPad. В прицнипе там доволньо хорошо читается. С ПК-версии (чтение с сайта) всё же не очень. Но книга читается очень быстро, затягивает, это даже лучше чем официальная книга по Rust. Так что поставлю 5, потому что реально понравилась.,Nikita, скопировать кусок текста как текст элементарно, даже если это картинка.,Ранее пытался освоить данный язык по интернет-учебникам и лекциям, довольно безуспешно. Автор книги объяснил все четко и подробно, все ранее неясные места стали понятными и логичными, особенно времена владения и многопоточное программирование. Рекомендую прочесть.,Читал это издание у друга в бумажном виде. Конечно удобнее. Касательно самой книги – я нигде больше не нашел русскоязычной информации по Rust. Написано весьма обширно.",0+,2018
Основы компиляции: инкрементный подход (pdf + epub),Джереми Сик,https://www.litres.ru/book/dzheremi-sik/osnovy-kompilyacii-inkrementnyy-podhod-pdf-epub-70415854/,0,,0,256,699,,16+,2023
Рецепты Python. Коллекция лучших техник программирования (pdf+epub),Юн Цуй,https://www.litres.ru/book/un-cuy/recepty-python-kollekciya-luchshih-tehnik-programmirovaniya-pdf-epu-70870289/,0,,0,544,699,,16+,2023
Spring Boot по-быстрому. Создаём облачные приложения на Java и Kotlin,Марк Хеклер,https://www.litres.ru/book/mark-hekler/spring-boot-po-bystromu-sozdaem-oblachnye-prilozheniya-na-java-67749222/,"3,0",7,3,352,699,"это просто кривой автоматический перевод с английского на русский. таких оборотов, как в этой книге ни один человек не сможет придумать. настолько плохо, что читать невозможно. просто зря заплатил деньги.,Книга написана ужасно. По каждой теме вместо короткой сути какая-то отвлеченная вода о чем угодно и далее идут невнятные примеры кода, погружение в абсолютно неважные детали. Читать невозможно ни бегло ни детально. Результат изучения книги нулевой.,Книга очень помогла!Спасибо огромное автору,Все очень органично и разложено по полочкам,Подойдет как новичкам так и Профи !",16+,2021
Расширенная аналитика с PySpark. Практические примеры анализа больших наборов данных с использованием Python и Spark,"Джош Уиллс, Акаш Тандон",https://www.litres.ru/book/akash-tandon-3291427/rasshirennaya-analitika-s-pyspark-prakticheskie-prime-70297333/,0,,0,223,349,,0+,2022
Kafka Streams в действии. Приложения и микросервисы для работы в реальном времени с API Kafka Streams (pdf+epub),Билл Беджек,https://www.litres.ru/book/bill-bedzhek-2763012/kafka-streams-v-deystvii-prilozheniya-i-mikroservisy-64085361/,"5,0",1,0,304,699,,16+,2018
Python. Экспресс-курс (pdf+epub),Наоми Седер,https://www.litres.ru/book/naomi-seder-18777952/python-ekspress-kurs-pdf-epub-43123781/,"3,9",11,3,480,699,"Замечательное введение. Рассмотрены все необходимые инструменты Python от основ языка и до объектно-ориентированного подхода. Более того, авторы даже добавили главы об основах анализа данных. Книга чёткая, с примерами кода. Рекомендую к прочтению.,Хорошая книга, как для новичков, так и для тех, кто начал самостоятельно изучать Python. Много листинга кода и практичных советов. Советую к прочтению.,Книга дает общее представление о языке и возможностях его применения. Может быть рекомендована опытным программистам, не знакомым с Python, как база для дальнейшего углубленного изучения. Так же может быть полезной интересующимся любителям, желающим использовать Python для решения конкретных прикладных задач. Будущим профессионалам, изучающим Python как первый язык, я рекомендую сразу переходить к более серьезным учебникам. 
Ставлю 4 из 5, потому что в русском издании в тексте встречаются ошибки. Восприятию материала не мешает, т.к. в контексте сразу заметны. Думаю, что после применения копипаста текст плохо отредактировали. С английским вариантом не сравнивал, не знаю появились они при переводе, или были в оригинале.",16+,2018
HTML и CSS. 25 уроков для начинающих,Владимир Дронов,https://www.litres.ru/book/vladimir-dronov/html-i-css-25-urokov-dlya-nachinauschih-66338066/,"4,6",18,8,381,449,"Подача материала лично мне очень понравилась. Пока прочитал где-то треть, с самого начала всё идёт по принципу hands on. Ты что-то сделал и сразу посмотрел как это работает. По-моему это очень мотивирует заниматься,Книгу купил. Хочу поделиться, как я определяю хорошая книга или нет. Просто начинаю читать и пытаюсь найти слова, которые не несут никакого смысла. (Ох, сколько я видел таких авторов). У Владимира Дронова все четко – ни убавить, ни прибавть. Это уже третья книга этого автора, купленная мною. Я как начинающий программист полностью удовлетворен покупками.,Хорошая книжка для начинающих. Понятно с картинками, разве что отсутствовали файлы для заданий, приходилось искать и брать в интернете.,232552848 скачать файлы можно на сайте издательства bhv.ru,Хорошая книга для изучения с нуля. Даны упражнения с подробным разбором, в результате выполнения которых всё отлично запоминается.,Замечательная книга , которая доступно объяснит вам верстку веб страниц и их стилизацию . ,К тому же изучение этой книги дастся крайне легко и быстро  - у меня на это ушел лишь один месяц , в конце которого я уже сверстал свои первые страницы для портфолио. ,Отлично , что через всю книгу красной нитью идет создание одного много страничного сайта о суши баре Йокогама , что на практике позволяет изучить верстку .,Отличная книга от известного автора. Все по полочкам разложено, как надо. Для новичка самое то. В настоящее время веб-приложения очень актуальны. Автор молодец!,vvvital под всеми книгами одно и то же пишете. Заглядывали хоть внутрь? Когда ""специалист"" по вёрстке сайтов постоянно подвал (footer) сайта поддоном называет... Ну такое себе. и ладно это был бы единственный ляп...,а о веб-приложениях в книге и речи нет. Тут про самые элементарные странички. Максимум про несколько слинкованных вручную. Даже без скриптов, без отправки форм. О каких приложениях актуальных речь в этой книге?!,Совсем новичку крайне не рекомендую - замечается переучивать терминологию и суть некоторых тегов.,Книга отличная! Я как раз начинающий программист и это то, что надо. Имхо, это лучшая книга на литресе для начинающих. В следующем месяце возьму по абонементу (299руб). Автор известный мастер своего дела. Книга новая. Для HTML это важно. Что мне безумно нравится на литрес, так это то, что книги, в отличии от бумажных, не кончатся никогда. И не надо бояться, что тебе вдруг не хватит.,Просто каша какая-то, а не книга, увы такой не структурированной подачи ещё не встречал, жаль потраченных денег на неё. Посли книг Хеад Фирст это какой то ужас ((((",0+,2020
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту,"Бассенс Аглаэ, Грант Бейлевельд",https://www.litres.ru/book/bassens-aglae/glubokoe-obuchenie-v-kartinkah-vizualnyy-gid-po-iskusstvenno-64070316/,"5,0",3,2,400,699,"Хорошая книга – кратко, чётко и по делу – идеальное введение в глубокое обучение, рассматриваются все основные принципы, очень хорошие практические примеры. Читать лучше в бумаге, сопровождая практикой. Но есть и недостаток – быстро заканчивается..)) Также отмечу, что используется чуть устаревшая версия Keras и ЧБ печатная версия из-за которой неприятно читать строки в духе «фиолетовым на графике … , а красным …»,Великолепный материал для подготовки лекций по основам глубокого обучения для гуманитариев. Не могу судить о пользе этой книги для технарей и естественников, но для гуманитариев – отличный материал. Спасибо!",16+,2020
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений (pdf + epub),Борис Черный,https://www.litres.ru/book/boris-chernyy-276503/professionalnyy-typescript-razrabotka-masshtabiruemyh-64081906/,"4,8",11,4,352,699,"Отличная книга, для изучающих TypeScript стоит прочитать. Хорошо совмещать чтение книги с изучением тайпскрипта на практике.,Мне нравится стиль написания этой книги. Это отличный способ изучить машинопись и понять преимущества по сравнению со стандартным JavaScript. Мне лично очень понравились все упражнения в конце каждой главы.,Есть минусы ... как и все тайпскриптеры продают технологию )) Но все же книга достойная без привязки в основном к другим технологиям ака фреймворкам-библиотекам заставляющим помима изучения самого ts изучать либо ангуляр либо реакт. Не раскрыта тема декораторов и прочих сложностей ))) но для входа мне понравилась. Надо будет еще раз прочитать так как только вхожу и половину проблематики просто еще не знаю от этого не полное понимание.,В целом рекомендую,Книга полезная как для людей с опытом, так и без. Конечно, в ней есть далеко не все, но это достаточно мощный фундамент для продолжения изучения этого диалекта.",16+,2019
Python для Excel. Современная среда для автоматизации и анализа данных,Феликс Зумштейн,https://www.litres.ru/book/feliks-zumshteyn/python-dlya-excel-sovremennaya-sreda-dlya-avtomatizacii-i-70920877/,0,,0,326,549,,0+,2021
Как устроен JavaScript (pdf+epub),Дуглас Крокфорд,https://www.litres.ru/book/duglas-krokford/kak-ustroen-javascript-pdf-epub-48613309/,"4,3",11,2,304,609,"Хорошее ревью языка, акцент сдвинут в сторону идей, концепций, личного мнения автора, с которым я в большинстве согласен, но и примеры кода отличные. Книга – не сухое изложение спеки, в ней есть юмор, эмоциональный окрас. Сложность по главам неравномерная, учтите это, если решите забросить недочитав.,Книга будет полезна тем, кто уже несколько лет пишет на JS. У автора свой, интересный взгляд на казалось бы стандартные моменты в работе JS.",16+,2018
Нейросети. Основы,Дэвид Рид,https://www.litres.ru/book/devid-rid-33100549/neyroseti-osnovy-70891537/,"5,0",211,4,190,690,"Очень подробная и последовательная книга. Основные темы представлены на примерах с подробным описанием и кодом. Изучив ее формируется понимание основных концепций.,Хороший учебник для начинающих и для уже что-то знающих в этой теме так как книга содержит много разных примеров использования, которые будут полезны и тем, кто уже работает в этой сфере.,Лучшая книга по нейросетям для новичков. С самого начала все по полочкам объяснено и показано. Много примеров. Если внимательно с ней поработать, то реально разобраться самому.,Хороший учебник для начинающих. Теория и практика изложена понятным языком, ничего лишнего. Советую. Удобно использовать книгу, как подсказку по применяемым алгоритмам.",12+,2024
